core_name,core_type,sample_depth_start,sample_depth_end,latitude,longitude,depth,tex86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,bit,publicationYear,reference_name,remark,reference_link
MD07-3084,PC,0,1,-49.1667,-76.5667,1790,0.416,0.45967313,0.071767323,0.035433239,0.005104789,0.417391547,0.010629972,0.022,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MD07-3086,PC,0,1,-48.45,-76.2667,1163,0.435,0.431359919,0.055545314,0.027874017,0.004469979,0.470310685,0.010440086,0.023,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MD07-3091,PC,0,1,-44.15,-75.15,1132,0.446,0.47188216,0.05389317,0.028766507,0.005436283,0.43091053,0.009111351,0.041,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MD07-3094,PC,0,1,-44.3167,-75.3667,481,0.446,0.452606676,0.059614164,0.032470694,0.005369503,0.439707312,0.010231651,0.026,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MD07-3105,PC,0,1,-41.7,-72.76666667,329,0.426802798,0.458836394,0.046132743,0.020510631,0.006399058,0.460680409,0.007440765,0.043,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MD07-3108,PC,0,1,-41.7,-72.66666667,458,0.449952465,0.454148547,0.056161837,0.028427596,0.008223202,0.443747847,0.009290971,0.062,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MD07-3114,PC,0,1,-45.384,-73.467,294,0.418754474,0.486397362,0.033106719,0.013984735,0.005504196,0.456644403,0.004362585,0.045,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MD07-3120,PC,0,1,-47.88333333,-74.48333333,662,0.42097988,0.454660129,0.043181855,0.020159169,0.004867981,0.470762402,0.006368465,0.07,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MD07-3122,PC,0,1,-47.88333333,-74.48333333,663,0.425715406,0.446865664,0.046435265,0.022345981,0.005087276,0.472276752,0.006989062,0.069,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MD07-3131,PC,0,1,-53.56666667,-70.66666667,463,0.369,0.516539679,0.023590968,0.007561472,0.003131727,0.446065031,0.003111123,0.042,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MDD-1SL,,0,1,-50.08333333,-75.1,65,0.412,0.497117892,0.022069975,0.008800345,0.003902561,0.465358544,0.002750684,0.041,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
MDD-3SL,,0,1,-50.31666667,-75.36666667,65,0.408,0.434376518,0.026077418,0.010153093,0.004659735,0.521548369,0.003184865,0.048,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
